FECHA,CES,MER,PED,TLA,XAL,NEZ,UIZ
05/01/2000,0.07,0.075,0.056,0.272,0.2,-99,0.102
11/01/2000,0.106,0.133,0.077,0.226,0.285,-99,0.167
17/01/2000,0.058,0.069,0.086,0.258,0.174,-99,0.067
23/01/2000,0.093,0.107,0.086,0.186,0.453,-99,0.092
29/01/2000,0.11,0.113,0.048,0.263,0.225,-99,0.202
04/02/2000,0.144,0.122,0.09,0.277,0.393,-99,0.095
10/02/2000,0.103,0.177,0.074,0.201,0.404,-99,0.129
16/02/2000,0.122,0.141,0.098,0.439,0.342,0.116,0.114
22/02/2000,0.088,0.103,0.0001,0.199,0.236,0.076,0.08
28/02/2000,0.062,0.078,0.0001,0.275,0.208,0.068,0.064
05/03/2000,0.054,0.088,0.052,0.198,0.135,0.083,0.068
11/03/2000,0.106,0.112,0.052,0.176,0.304,0.154,0.108
17/03/2000,0.064,0.105,0.0001,0.177,0.347,0.203,0.069
23/03/2000,0.112,0.114,0.055,0.169,0.426,0.163,0.136
29/03/2000,0.077,0.11,0.048,0.114,0.268,0.097,0.073
04/04/2000,0.082,0.136,0.0001,0.16,0.167,0.0001,0.057
10/04/2000,0.051,0.071,0.0001,0.122,0.06,0.0001,0.0001
16/04/2000,0.0001,0.054,0.0001,0.136,0.258,0.0001,0.0001
22/04/2000,0.066,0.0001,0.0001,0.059,0.066,0.0001,0.042
28/04/2000,0.074,0.11,0.054,0.152,0.347,0.058,0.071
04/05/2000,0.051,0.068,0.0001,0.258,0.3,0.0001,0.041
10/05/2000,0.0001,0.093,0.0001,0.122,0.315,0.153,0.042
16/05/2000,0.055,0.123,0.049,0.147,0.134,0.056,0.099
22/05/2000,0.0001,0.0001,0.046,0.1,0.28,0.0001,0.0001
28/05/2000,0.0001,0.068,0.0001,0.101,0.085,0.0001,0.0001
03/06/2000,0.052,0.058,0.039,0.117,0.094,0.0001,-99
09/06/2000,0.072,0.117,0.0001,0.231,0.346,0.062,-99
15/06/2000,0.0001,0.062,0.0001,0.13,0.184,0.045,0.0001
21/06/2000,0.083,0.07,0.07,0.103,0.267,0.0001,0.068
27/06/2000,0.085,0.099,0.041,0.125,0.378,0.045,0.062
03/07/2000,0.0001,0.04,0.0001,0.073,0.083,0.0001,0.0001
09/07/2000,0.0001,0.0001,0.0001,0.088,0.047,0.0001,0.0001
15/07/2000,0.088,0.096,0.046,0.126,0.155,0.072,0.077
21/07/2000,0.083,0.065,0.0001,0.144,0.887,0.057,0.058
27/07/2000,0.089,0.091,0.033,0.25,0.28,0.084,0.104
02/08/2000,0.056,0.074,0.038,0.189,0.073,0.0001,0.051
08/08/2000,0.0001,0.063,0.0001,0.138,0.057,0.0001,0.045
14/08/2000,0.058,0.06,0.039,0.137,0.113,0.0001,0.0001
20/08/2000,0.0001,0.067,0.0001,0.079,0.0001,0.0001,0.0001
26/08/2000,0.0001,0.045,0.0001,0.104,0.077,0.0001,0.049
01/09/2000,0.041,0.047,0.0001,0.125,0.11,0.0001,0.034
07/09/2000,0.056,0.099,0.0001,0.082,0.129,0.043,0.063
13/09/2000,0.064,0.118,0.039,0.129,0.151,0.059,0.049
19/09/2000,0.075,0.0001,0.0001,0.118,0.154,0.0001,0.051
25/09/2000,0.0001,0.084,0.0001,0.083,0.044,0.0001,0.0001
01/10/2000,0.07,0.09,0.05,0.15,0.07,0.07,0.06
07/10/2000,0.06,0.06,0.03,0.11,0.08,0.08,0.05
13/10/2000,0.05,0.07,0.0001,0.16,0.11,0.0001,0.05
19/10/2000,0.06,0.08,0.05,0.13,0.06,0.0001,0.04
25/10/2000,0.04,0.06,0.0001,0.13,0.16,0.0001,0.04
31/10/2000,0.07,0.0001,0.0001,0.13,0.12,0.07,0.05
06/11/2000,0.0001,0.0001,0.0001,0.041,0.125,0.0001,0.0001
12/11/2000,0.0001,0.0001,0.0001,0.046,0.081,0.0001,0.0001
18/11/2000,0.054,0.109,0.03,0.087,0.158,0.0001,0.059
24/11/2000,0.058,0.0001,0.0001,0.227,0.278,-99,-99
30/11/2000,0.086,0.149,0.032,0.11,0.171,-99,-99
06/12/2000,0.053,0.096,0.0001,0.155,0.213,-99,-99
12/12/2000,0.109,0.133,0.038,0.102,0.473,-99,-99
18/12/2000,0.0001,0.099,0.033,0.086,0.394,-99,-99
24/12/2000,-99,0.094,0.0001,0.11,0.129,-99,-99
30/12/2000,-99,-99,-99,-99,-99,-99,-99
